
========== Nova Sessao ==========
Data/Hora: Fri Feb 13 23:39:22 2026
===================================

[23:39:35] Pacote #241: 92 bytes capturados, 92 bytes no fio
[23:39:35] Pacote #242: 92 bytes capturados, 92 bytes no fio
[23:39:35] Pacote #243: 92 bytes capturados, 92 bytes no fio
[23:39:35] Pacote #244: 88 bytes capturados, 88 bytes no fio
[23:39:35] Pacote #245: 88 bytes capturados, 88 bytes no fio
[23:39:35] Pacote #246: 88 bytes capturados, 88 bytes no fio
[23:39:35] Pacote #247: 230 bytes capturados, 230 bytes no fio
[23:39:35] Pacote #248: 95 bytes capturados, 95 bytes no fio
[23:39:35] Pacote #249: 186 bytes capturados, 186 bytes no fio
[23:39:35] Pacote #250: 230 bytes capturados, 230 bytes no fio
[23:39:35] Pacote #251: 95 bytes capturados, 95 bytes no fio
[23:39:35] Pacote #252: 157 bytes capturados, 157 bytes no fio
[23:39:35] Pacote #253: 225 bytes capturados, 225 bytes no fio
[23:39:35] Pacote #254: 106 bytes capturados, 106 bytes no fio
[23:39:35] Pacote #255: 365 bytes capturados, 365 bytes no fio
[23:39:35] Pacote #256: 151 bytes capturados, 151 bytes no fio
[23:39:35] Pacote #257: 151 bytes capturados, 151 bytes no fio
[23:39:35] Pacote #258: 114 bytes capturados, 114 bytes no fio
[23:39:35] Pacote #259: 182 bytes capturados, 182 bytes no fio
[23:39:35] Pacote #260: 182 bytes capturados, 182 bytes no fio
[23:39:35] Pacote #261: 97 bytes capturados, 97 bytes no fio
[23:39:35] Pacote #262: 146 bytes capturados, 146 bytes no fio
[23:39:35] Pacote #263: 146 bytes capturados, 146 bytes no fio
[23:39:35] Pacote #264: 95 bytes capturados, 95 bytes no fio
[23:39:35] Pacote #265: 152 bytes capturados, 152 bytes no fio
[23:39:35] Pacote #266: 172 bytes capturados, 172 bytes no fio
[23:39:35] Pacote #267: 138 bytes capturados, 138 bytes no fio
[23:39:35] Pacote #268: 176 bytes capturados, 176 bytes no fio
[23:39:35] Pacote #269: 124 bytes capturados, 124 bytes no fio
[23:39:35] Pacote #270: 172 bytes capturados, 172 bytes no fio
[23:39:35] Pacote #271: 176 bytes capturados, 176 bytes no fio
[23:39:35] Pacote #272: 168 bytes capturados, 168 bytes no fio
